duty,v_in,i_in,v_out_adc,v_out_meter,n,load_ohms
0.0,5.014025,0.000175,0.002,,40,10.0
0.05,5.000846153846155,0.007051282051282052,0.31446153846153846,,39,10.0
0.1,4.991025641025641,0.011948717948717949,0.5053846153846154,,39,10.0
0.15,4.973820512820513,0.020846153846153848,0.7403846153846154,,39,10.0
0.2,4.945473684210526,0.035,1.0506315789473684,,38,10.0
0.25,4.900615384615384,0.0573076923076923,1.4044358974358975,,39,10.0
0.3,4.835692307692308,0.08992307692307691,1.803846153846154,,39,10.0
0.35,4.741794871794872,0.13623076923076924,2.247179487179487,,39,10.0
0.4,4.61423076923077,0.1998717948717949,2.7242051282051287,,39,10.0
0.45,4.436184210526316,0.28702631578947374,3.2218947368421054,,38,10.0
