# 2x Hissuma PSF10MONO series, irradiance 1000/300 W/m2, 25 degC
# global MPP: V=13.148 V, I=0.708 A, P=9.308 W
# v,i
0.000000,0.790025
0.032478,0.789985
0.064956,0.789944
0.097433,0.789904
0.129911,0.789863
0.162389,0.789822
0.194867,0.789782
0.227344,0.789741
0.259822,0.789700
0.292300,0.789660
0.324778,0.789619
0.357256,0.789578
0.389733,0.789538
0.422211,0.789497
0.454689,0.789456
0.487167,0.789416
0.519645,0.789375
0.552122,0.789335
0.584600,0.789294
0.617078,0.789253
0.649556,0.789213
0.682033,0.789172
0.714511,0.789131
0.746989,0.789091
0.779467,0.789050
0.811945,0.789009
0.844422,0.788969
0.876900,0.788928
0.909378,0.788887
0.941856,0.788846
0.974334,0.788806
1.006811,0.788765
1.039289,0.788724
1.071767,0.788684
1.104245,0.788643
1.136722,0.788602
1.169200,0.788562
1.201678,0.788521
1.234156,0.788480
1.266634,0.788440
1.299111,0.788399
1.331589,0.788358
1.364067,0.788317
1.396545,0.788277
1.429023,0.788236
1.461500,0.788195
1.493978,0.788154
1.526456,0.788114
1.558934,0.788073
1.591411,0.788032
1.623889,0.787992
1.656367,0.787951
1.688845,0.787910
1.721323,0.787869
1.753800,0.787828
1.786278,0.787788
1.818756,0.787747
1.851234,0.787706
1.883712,0.787665
1.916189,0.787625
1.948667,0.787584
1.981145,0.787543
2.013623,0.787502
2.046100,0.787461
2.078578,0.787421
2.111056,0.787380
2.143534,0.787339
2.176012,0.787298
2.208489,0.787257
2.240967,0.787216
2.273445,0.787176
2.305923,0.787135
2.338401,0.787094
2.370878,0.787053
2.403356,0.787012
2.435834,0.786971
2.468312,0.786930
2.500789,0.786889
2.533267,0.786848
2.565745,0.786808
2.598223,0.786767
2.630701,0.786726
2.663178,0.786685
2.695656,0.786644
2.728134,0.786603
2.760612,0.786562
2.793090,0.786521
2.825567,0.786480
2.858045,0.786439
2.890523,0.786398
2.923001,0.786357
2.955478,0.786316
2.987956,0.786275
3.020434,0.786234
3.052912,0.786192
3.085390,0.786151
3.117867,0.786110
3.150345,0.786069
3.182823,0.786028
3.215301,0.785987
3.247779,0.785946
3.280256,0.785904
3.312734,0.785863
3.345212,0.785822
3.377690,0.785781
3.410167,0.785740
3.442645,0.785698
3.475123,0.785657
3.507601,0.785616
3.540079,0.785574
3.572556,0.785533
3.605034,0.785492
3.637512,0.785450
3.669990,0.785409
3.702468,0.785368
3.734945,0.785326
3.767423,0.785285
3.799901,0.785243
3.832379,0.785202
3.864856,0.785160
3.897334,0.785118
3.929812,0.785077
3.962290,0.785035
3.994768,0.784994
4.027245,0.784952
4.059723,0.784910
4.092201,0.784869
4.124679,0.784827
4.157157,0.784785
4.189634,0.784743
4.222112,0.784701
4.254590,0.784659
4.287068,0.784617
4.319545,0.784576
4.352023,0.784534
4.384501,0.784491
4.416979,0.784449
4.449457,0.784407
4.481934,0.784365
4.514412,0.784323
4.546890,0.784281
4.579368,0.784238
4.611846,0.784196
4.644323,0.784154
4.676801,0.784111
4.709279,0.784069
4.741757,0.784026
4.774234,0.783984
4.806712,0.783941
4.839190,0.783898
4.871668,0.783856
4.904146,0.783813
4.936623,0.783770
4.969101,0.783727
5.001579,0.783684
5.034057,0.783641
5.066535,0.783598
5.099012,0.783555
5.131490,0.783512
5.163968,0.783468
5.196446,0.783425
5.228923,0.783382
5.261401,0.783338
5.293879,0.783295
5.326357,0.783251
5.358835,0.783207
5.391312,0.783163
5.423790,0.783119
5.456268,0.783075
5.488746,0.783031
5.521224,0.782987
5.553701,0.782943
5.586179,0.782898
5.618657,0.782854
5.651135,0.782809
5.683612,0.782765
5.716090,0.782720
5.748568,0.782675
5.781046,0.782630
5.813524,0.782585
5.846001,0.782539
5.878479,0.782494
5.910957,0.782448
