Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RaspberryPi_Pico,RaspberryPi_Pico_SMD_HandSolder,83.63,-78.615,0.0,top
C10,100nF 10% 50V X7R 0805,C_0805_2012Metric,76.645,-118.57,180.0,top
C13,100nF 10% 50V X7R 0805,C_0805_2012Metric,121.762,-97.996,90.0,top
C14,10uF 5% 250V FilmCap P=27.5mm,C_Rect_L31.5mm_W17.0mm_P27.50mm_MKS4,151.13,-96.105,90.0,top
C15,22uF 100V Electrolytic,CP_Radial_D6.3mm_P2.50mm,184.17,-73.66,180.0,top
C16,1nF 10% 1KV X7R 1206,C_1206_3216Metric,162.56,-118.11,90.0,top
C17,1000uF 100V Electrolytic D18,CP_Radial_D18.0mm_P7.50mm,173.99,-116.145,-90.0,top
C18,100nF 10% 50V X7R 0805,C_0805_2012Metric,110.49,-97.584329,90.0,top
C19,100nF 10% 50V X7R 0805,C_0805_2012Metric,118.555,-63.96,90.0,top
C20,100nF 10% 50V X7R 0805,C_0805_2012Metric,121.92,-106.68,90.0,top
C21,100nF 10% 50V X7R 0805,C_0805_2012Metric,110.49,-106.68,90.0,top
C22,22uF 10% 25V X7R 1210,C_1210_3225Metric,122.365,-63.96,90.0,top
C23,22uF 10% 25V X7R 1210,C_1210_3225Metric,122.365,-57.61,-90.0,top
C24,22uF 10% 25V X7R 1210,C_1210_3225Metric,118.555,-57.61,-90.0,top
C25,1nF 10% 1KV X7R 1206,C_1206_3216Metric,62.04,-107.394,0.0,top
C26,2.2uF 100V 1206,C_1206_3216Metric,151.13,-91.44,0.0,top
C27,100nF 10% 50V X7R 0805,C_0805_2012Metric,114.745,-57.61,-90.0,top
C28,100nF 10% 50V X7R 0805,C_0805_2012Metric,132.08,-56.388,90.0,top
C29,100nF 10% 50V X7R 0805,C_0805_2012Metric,93.79,-122.38,180.0,top
C3,100nF 10% 50V X7R 0805,C_0805_2012Metric,48.07,-121.11,0.0,top
C30,100nF 10% 50V X7R 0805,C_0805_2012Metric,98.87,-124.92,0.0,top
C31,100nF 10% 50V X7R 0805,C_0805_2012Metric,98.87,-114.76,0.0,top
